timestamp,position_x,position_y,theta_rad
0.000000,5.000000,5.000000,1.107149
0.100000,5.105822,5.210452,1.089938
0.200000,5.211186,5.417336,1.071661
0.300000,5.315609,5.619094,1.052288
0.400000,5.418596,5.814227,1.031802
0.500000,5.519655,6.001323,1.010196
0.600000,5.618293,6.179043,0.987474
0.700000,5.714022,6.346128,0.963645
0.800000,5.806352,6.501309,0.938722
0.900000,5.894801,6.643324,0.912727
1.000000,5.978893,6.771008,0.885686
1.100000,6.058156,6.883296,0.857629
1.200000,6.132128,6.979116,0.828606
1.300000,6.200350,7.057497,0.798670
1.400000,6.262372,7.117565,0.767883
1.500000,6.317765,7.158548,0.736310
1.600000,6.366117,7.179878,0.704021
1.700000,6.407038,7.181283,0.671095
1.800000,6.440156,7.162886,0.637612
1.900000,6.465117,7.124905,0.603651
2.000000,6.481580,7.067645,0.569292
2.100000,6.489222,6.991490,0.534614
2.200000,6.487730,6.897086,0.499691
2.300000,6.477002,6.785340,0.464599
2.400000,6.457053,6.657317,0.429408
2.500000,6.427914,6.514239,0.394186
2.600000,6.389635,6.357474,0.358999
2.700000,6.342289,6.188523,0.323906
2.800000,6.286071,6.009026,0.288960
2.900000,6.221200,5.820658,0.254213
3.000000,6.148011,5.625121,0.219714
3.100000,6.066860,5.423924,0.185514
3.200000,5.978129,5.218587,0.151662
3.300000,5.882228,5.010534,0.118205
3.400000,5.779590,4.801197,0.085186
3.500000,5.670678,4.592004,0.052643
3.600000,5.555986,4.384370,0.020610
3.700000,5.436034,4.179685,-0.010878
3.800000,5.311370,3.979213,-0.041793
3.900000,5.182565,3.784183,-0.072101
4.000000,5.050212,3.595786,-0.101772
4.100000,4.914929,3.415160,-0.130777
4.200000,4.777353,3.243398,-0.159089
4.300000,4.638148,3.081546,-0.186682
4.400000,4.497992,2.930601,-0.213529
4.500000,4.357577,2.791500,-0.239607
4.600000,4.217592,2.665111,-0.264893
4.700000,4.078631,2.552233,-0.289366
4.800000,3.941295,2.453580,-0.312999
4.900000,3.806190,2.369876,-0.335767
5.000000,3.673836,2.301859,-0.357648
5.100000,3.544869,2.249870,-0.378617
5.200000,3.419842,2.214878,-0.398647
5.300000,3.299321,2.197368,-0.417711
5.400000,3.183786,2.197350,-0.435787
5.500000,3.073617,2.214457,-0.452854
5.600000,2.969106,2.248061,-0.468894
5.700000,2.870566,2.297298,-0.483888
5.800000,2.778230,2.361042,-0.497822
5.900000,2.692340,2.438096,-0.510682
6.000000,2.613045,2.527183,-0.522452
6.100000,2.540417,2.626941,-0.533118
6.200000,2.474549,2.735919,-0.542662
6.300000,2.415555,2.852668,-0.551068
6.400000,2.363567,2.975819,-0.558319
6.500000,2.318731,3.103986,-0.564402
6.600000,2.281119,3.235889,-0.569308
6.700000,2.250819,3.370258,-0.573038
6.800000,2.227931,3.505822,-0.575599
6.900000,2.212563,3.641314,-0.577002
7.000000,2.204838,3.775586,-0.577265
7.100000,2.204892,3.907519,-0.576410
7.200000,2.212867,4.036015,-0.574465
7.300000,2.228906,4.160004,-0.571465
7.400000,2.252952,4.278453,-0.567451
7.500000,2.284851,4.390466,-0.562473
7.600000,2.324357,4.495204,-0.556592
7.700000,2.371131,4.591901,-0.549877
7.800000,2.424840,4.679860,-0.542398
7.900000,2.485055,4.758509,-0.534226
8.000000,2.551259,4.827306,-0.525432
8.100000,2.622956,4.885827,-0.516086
8.200000,2.699676,4.933755,-0.506259
8.300000,2.780963,4.970897,-0.496019
8.400000,2.866378,4.997284,-0.485434
8.500000,2.955490,5.012965,-0.474574
8.600000,3.047875,5.018016,-0.463503
8.700000,3.143118,5.012534,-0.452285
8.800000,3.240813,4.996637,-0.440982
8.900000,3.340562,4.970462,-0.429655
9.000000,3.441973,4.934173,-0.418361
9.100000,3.544665,4.888062,-0.407149
9.200000,3.648261,4.832442,-0.396066
9.300000,3.752399,4.767645,-0.385158
9.400000,3.856728,4.694025,-0.374465
9.500000,3.960905,4.612053,-0.364024
9.600000,4.064606,4.522205,-0.353868
9.700000,4.167512,4.424958,-0.344026
9.800000,4.269321,4.320875,-0.334522
9.900000,4.369749,4.210515,-0.325376
10.000000,4.468523,4.094435,-0.316605
10.100000,4.565406,3.973180,-0.308221
10.200000,4.660109,3.847285,-0.300232
10.300000,4.752397,3.717277,-0.292645
10.400000,4.842007,3.583685,-0.285465
10.500000,4.928738,3.447022,-0.278693
10.600000,5.012356,3.307877,-0.272332
10.700000,5.092694,3.166827,-0.266381
10.800000,5.169550,3.024443,-0.260838
10.900000,5.242805,2.881373,-0.255699
11.000000,5.312328,2.738221,-0.250959
11.100000,5.378000,2.595563,-0.246610
11.200000,5.439712,2.453959,-0.242646
11.300000,5.497364,2.313958,-0.239062
11.400000,5.550866,2.176100,-0.235850
11.500000,5.600132,2.040916,-0.233009
11.600000,5.645082,1.908920,-0.230537
11.700000,5.685642,1.780603,-0.228435
11.800000,5.721743,1.656434,-0.226703
11.900000,5.753321,1.536850,-0.225340
12.000000,5.780315,1.422355,-0.224346
12.100000,5.802671,1.313437,-0.223722
12.200000,5.820336,1.210565,-0.223470
12.300000,5.833256,1.114197,-0.223590
12.400000,5.841381,1.024869,-0.224082
12.500000,5.844670,0.943105,-0.224946
12.600000,5.843102,0.869411,-0.226182
12.700000,5.836671,0.804273,-0.227789
12.800000,5.825381,0.748057,-0.229767
12.900000,5.809249,0.701019,-0.232115
13.000000,5.788298,0.663385,-0.234833
13.100000,5.762560,0.635338,-0.237918
13.200000,5.732070,0.617011,-0.241369
13.300000,5.696870,0.608581,-0.245184
13.400000,5.657007,0.610173,-0.249363
13.500000,5.612534,0.621868,-0.253903
13.600000,5.563503,0.643700,-0.258804
13.700000,5.509971,0.675662,-0.264064
13.800000,5.452002,0.717697,-0.269679
13.900000,5.389662,0.769707,-0.275641
14.000000,5.323023,0.831557,-0.281944
14.100000,5.252158,0.903080,-0.288577
14.200000,5.177148,0.984178,-0.295531
14.300000,5.098083,1.074706,-0.302796
14.400000,5.015061,1.174567,-0.310360
14.500000,4.928191,1.283626,-0.318209
14.600000,4.837592,1.401708,-0.326328
14.700000,4.743393,1.528691,-0.334703
14.800000,4.645731,1.664402,-0.343317
14.900000,4.544743,1.808620,-0.352156
15.000000,4.440578,1.961183,-0.361198
15.100000,4.333390,2.121908,-0.370425
15.200000,4.223337,2.290605,-0.379815
15.300000,4.110580,2.467073,-0.389347
15.400000,3.995287,2.651104,-0.398997
15.500000,3.877631,2.842475,-0.408739
15.600000,3.757790,3.040954,-0.418548
15.700000,3.635956,3.246294,-0.428400
15.800000,3.512330,3.458238,-0.438269
