timestamp,position_x,position_y,theta_rad
0.0,5.060474376746809,4.949981250366023,1.107149
0.1,5.035549118461054,5.208701230604587,1.089938
0.2,5.243753531310929,5.483664547660145,1.071661
0.3,5.253425989556074,5.581280838066783,1.052288
0.4,5.368157924188176,5.842874192381847,1.031802
0.5,5.492977088232922,6.019475696262866,1.010196
0.6,5.647674181247064,6.2087229396840105,0.987474
0.7,5.709153457973117,6.382524453445571,0.963645
0.8,5.876150431674902,6.453153267638534,0.938722
0.9,5.889607887514309,6.559559023209697,0.912727
1.0,5.946185437727007,6.741180175447544,0.885686
1.1,6.089243561785876,6.794329651854228,0.857629
1.2,6.122319680009604,6.996477844335383,0.828606
1.3,6.237910713038121,7.027537756701029,0.79867
1.4,6.1509942148484456,7.117321582159904,0.767883
1.5,6.2989260966692235,7.167672881896144,0.73631
1.6,6.423722741908838,7.179828231841482,0.704021
1.7,6.45101205760922,7.138810411289778,0.671095
1.8,6.358762580133701,7.112994601360904,0.637612
1.9,6.457093528949107,7.207438756282136,0.603651
2.0,6.504160381256561,7.027638459474982,0.569292
2.1,6.488873220944002,6.879429276649461,0.534614
2.2,6.502273176758471,6.805730372404689,0.499691
2.3,6.537330691013352,6.776446168385679,0.464599
2.4,6.425205822401491,6.781173849016919,0.429408
2.5,6.403563635906746,6.508763763983462,0.394186
2.6,6.487389289018261,6.3305345977275564,0.358999
2.7,6.3168981096462025,6.232205994700384,0.323906
2.8,6.27208626111863,6.083647010337613,0.28896
2.9,6.2078781194044526,5.767858429897405,0.254213
3.0,6.117674142070234,5.5822125136444285,0.219714
3.1,6.06606742309346,5.394953601333189,0.185514
3.2,5.950489088009637,5.097117705990882,0.151662
3.3,5.936657003024045,4.928504387985718,0.118205
3.4,5.836862391359036,4.721673847008355,0.085186
3.5,5.727068980913287,4.578081097345119,0.052643
3.6,5.584763934837609,4.435060974362915,0.02061
3.7,5.385469600901959,4.140712110773547,-0.010878
3.8,5.361474075144381,3.952263476290274,-0.041793
3.9,5.164867111209067,3.7705863088927707,-0.072101
4.0,5.037313275879638,3.6246696617102745,-0.101772
4.1,4.871414838984839,3.549614830977105,-0.130777
4.2,4.7506483444614975,3.284960236740815,-0.159089
4.3,4.620486582888086,3.049760721650713,-0.186682
4.4,4.472750044146064,2.857375104640942,-0.213529
4.5,4.369878620118832,2.7901273441120384,-0.239607
4.6,4.228895733723858,2.5739453869688105,-0.264893
4.7,4.036855818021567,2.526398484392117,-0.289366
4.8,3.9533062067036755,2.521798974187874,-0.312999
4.9,3.87680583665112,2.4199416044470174,-0.335767
5.0,3.6841536229069565,2.234888227286091,-0.357648
5.1,3.494603564084735,2.2516666077562952,-0.378617
5.2,3.4506659751869297,2.213903966509629,-0.398647
5.3,3.335647296507686,2.1879903489686185,-0.417711
5.4,3.220280064211987,2.1146567717082227,-0.435787
5.5,3.072856946848924,2.2768792517244747,-0.452854
5.6,2.9129688396857976,2.2519580343011705,-0.468894
5.7,2.817149911450218,2.2644652616474867,-0.483888
5.8,2.807043274397068,2.3420244327420066,-0.497822
5.9,2.5738260221826637,2.432388991629225,-0.510682
6.0,2.696379241442703,2.4851268601085277,-0.522452
6.1,2.503957189540815,2.6808526922645237,-0.533118
6.2,2.4663325341545557,2.668998183638418,-0.542662
6.3,2.387554887144667,2.8776939392271137,-0.551068
6.4,2.423774743806843,3.024867413609359,-0.558319
6.5,2.2737875157907537,3.073829713545105,-0.564402
6.6,2.291923889027034,3.2370573630588426,-0.569308
6.7,2.199809039448452,3.4129032707157108,-0.573038
6.8,2.308374066899456,3.44643973616505,-0.575599
6.9,2.2040055390495614,3.6713015007305816,-0.577002
7.0,2.192553975534161,3.786603800192845,-0.577265
7.1,2.1627933944384834,3.9424691928913083,-0.57641
7.2,2.1543714796272866,4.0033771970071,-0.574465
7.3,2.2646282248052527,4.110478170642975,-0.571465
7.4,2.222043589743665,4.238339758338706,-0.567451
7.5,2.28240036762491,4.362661205311306,-0.562473
7.6,2.399319055004665,4.559448581884309,-0.556592
7.7,2.482735331435116,4.535373980297724,-0.549877
7.8,2.457161861467484,4.712348014636002,-0.542398
7.9,2.4721599622886004,4.754659477932055,-0.534226
8.0,2.578589991787682,4.87198299035523,-0.525432
8.1,2.647080100445043,4.962630399621292,-0.516086
8.2,2.7016004670653353,4.992844012026657,-0.506259
8.3,2.7700973109778406,5.08248347333528,-0.496019
8.4,2.802937670294706,5.015745080200603,-0.485434
8.5,2.9864042246366935,5.028594644917584,-0.474574
8.6,3.0720868984613507,5.0493205818423395,-0.463503
8.7,3.189369205840975,5.080181687463601,-0.452285
8.8,3.353536649620571,5.003006481836139,-0.440982
8.9,3.398110710302388,5.041046236565894,-0.429655
9.0,3.5435290281254925,4.997370065848507,-0.418361
9.1,3.575551168904948,4.884649038180885,-0.407149
9.2,3.7008671856845283,4.86051614699592,-0.396066
